File	Measure	mean	stdev
enda-dail-comments	log10 text length	5.134186673429167	
enda-dail-comments	type-token ratio (disjoint windows)	0.3902205882352941	0.007018384404831303
enda-dail-comments	lexical density	0.4267747406444792
enda-dail-comments	average token length (disjoint windows)	4.456808823529411	0.028654272078980917
enda-dail-comments	Guiraud's R (disjoint windows)	12.339858487142346	0.22194080213872178
enda-dail-comments	Dugast's k (disjoint windows)	3.083344888942429	0.011851924227073558
enda-dail-comments	evenness (disjoint windows)	0.8709035214648928	0.001789661616926277
enda-dail-comments	Gini-based dispersion (disjoint windows)	0.39996426925455264	0.007813382893658365
enda-dail-comments	evenness-based dispersion (disjoint windows)	0.6524760838834708	0.00844061793081749
enda-dail-comments	rarity	0.15111478117258464	
enda-dail-comments	average sentence length (words)	21.814362907442913	13.975167858865863
enda-dail-comments	average sentence length (tokens)	23.74115391319505	15.032870849921778
enda-dail-comments	punctuation per sentence	1.9267910057521354	1.5991876109654968
enda-dail-comments	average dependency distance	3.1464038409120465	0.810819249444947
enda-dail-comments	dependents per word	0.9383585159397774	0.04595610334684241
enda-dail-comments	closeness centrality	0.4439266511129575	0.1778166288799191
enda-dail-comments	average verb count per sentence	2.3662192783684852
enda-dail-comments	average subordinating conjunction count per sentence	0.4629691689008043	0.7393154182334071
enda-dail-comments	average coordinating conjunction count per sentence	0.5361930294906166	1.1000517317780967
formal-articles	log10 text length	5.143217840132094	
formal-articles	type-token ratio (disjoint windows)	0.43145323741007197	0.00510813163249178
formal-articles	lexical density	0.39654837665839715	
formal-articles	average token length (disjoint windows)	4.444726618705036	0.037220025646165715
formal-articles	Guiraud's R (disjoint windows)	13.643749340691945	0.1615333054662819
formal-articles	Dugast's k (disjoint windows)	3.137978756856827	0.006211014689725723
formal-articles	evenness (disjoint windows)	0.8922193406946625	0.001366787259809011
formal-articles	Gini-based dispersion (disjoint windows)	0.38609200170599894	0.007838495831860273
formal-articles	evenness-based dispersion (disjoint windows)	0.6335677018642699	0.008547751674995952
formal-articles	rarity	0.2019004098212019	
formal-articles	average sentence length (words)	20.911193029490615	11.758098466808244
formal-articles	average sentence length (tokens)	23.301776139410187	12.870716943746384
formal-articles	punctuation per sentence	2.390583109919571	1.7247569260506512
formal-articles	average dependency distance	3.24754679200939	0.8981966233190417
formal-articles	dependents per word	0.9264903113891166	0.11621447241616477
formal-articles	closeness centrality	0.4511534978740927	0.1813397644085054
formal-articles	average verb count per sentence	2.485087131367292
formal-articles	average subordinating conjunction count per sentence	0.4629691689008043	0.7440976267157253
formal-articles	average coordinating conjunction count per sentence	0.5361930294906166	0.7874691377918874
social-comments	log10 text length	5.154098206189118	
social-comments	type-token ratio (disjoint windows)	0.48188028169014085	0.0046697813752592035
social-comments	lexical density	0.46321348172771454	
social-comments	average token length (disjoint windows)	4.095323943661972	0.02160315001932893
social-comments	Guiraud's R (disjoint windows)	15.238392496643781	0.14767145320852548
social-comments	Dugast's k (disjoint windows)	3.1955755262684886	0.005148587039465919
social-comments	evenness (disjoint windows)	0.9022497543568486	0.0011798337219203565
social-comments	Gini-based dispersion (disjoint windows)	0.41038953820148855	0.004944709131061028
social-comments	evenness-based dispersion (disjoint windows)	0.6568302127250175	0.005357429679237693
social-comments	rarity	0.2428729315226113	
social-comments	average sentence length (words)	14.61485260770975	11.989131480168078
social-comments	average sentence length (tokens)	16.167006802721087	12.729351851879674
social-comments	punctuation per sentence	1.5521541950113378	1.2907606053316332
social-comments	average dependency distance	2.8181567278366475	0.9857691956074909
social-comments	dependents per word	0.8905968372085604	0.11839845934385375
social-comments	closeness centrality	0.5741277025678055	0.22017805718091596
social-comments	average verb count per sentence	1.8382086167800453
social-comments	average subordinating conjunction count per sentence	0.26065759637188207	0.5620322763123617
social-comments	average coordinating conjunction count per sentence	0.46757369614512473	0.8094104418070072
